Team_Name,Year,Wins,Losses,Overtime_Losses,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Games_played,GF_per_Game,GA_per_Game,GD_per_Game,Team_Initials,Era
Boston Bruins,1970,44,24,0,55.0,299,264,35,68.0,4.4,3.88,0.51,BB,1990s
Buffalo Sabres,1970,31,30,0,38.8,292,278,14,61.0,4.79,4.56,0.23,BS,1990s
Calgary Flames,1970,46,26,0,57.5,344,263,81,72.0,4.78,3.65,1.12,CF,1990s
Chicago Blackhawks,1970,49,23,0,61.3,284,211,73,72.0,3.94,2.93,1.01,CB,1990s
Detroit Red Wings,1970,34,38,0,42.5,273,298,-25,72.0,3.79,4.14,-0.35,DRW,1990s
Edmonton Oilers,1970,37,37,0,46.3,272,272,0,74.0,3.68,3.68,0.0,EO,1990s
Hartford Whalers,1970,31,38,0,38.8,238,276,-38,69.0,3.45,4.0,-0.55,HW,1990s
Los Angeles Kings,1970,46,24,0,57.5,340,254,86,70.0,4.86,3.63,1.23,LAK,1990s
Minnesota North Stars,1970,27,39,0,33.8,256,266,-10,66.0,3.88,4.03,-0.15,MNS,1990s
Montreal Canadiens,1970,39,30,0,48.7,273,249,24,69.0,3.96,3.61,0.35,MC,1990s
New Jersey Devils,1970,32,33,0,40.0,272,264,8,65.0,4.18,4.06,0.12,NJD,1990s
New York Islanders,1970,25,45,0,31.2,223,290,-67,70.0,3.19,4.14,-0.96,NYI,1990s
New York Rangers,1970,36,31,0,45.0,297,265,32,67.0,4.43,3.96,0.48,NYR,1990s
Philadelphia Flyers,1970,33,37,0,41.2,252,267,-15,70.0,3.6,3.81,-0.21,PF,1990s
Pittsburgh Penguins,1970,41,33,0,51.2,342,305,37,74.0,4.62,4.12,0.5,PP,1990s
Quebec Nordiques,1970,16,50,0,20.0,236,354,-118,66.0,3.58,5.36,-1.79,QN,1990s
St. Louis Blues,1970,47,22,0,58.8,310,250,60,69.0,4.49,3.62,0.87,SLB,1990s
